Category,Qty,Value,Device,Package,Parts,JLC Number,Cost (RMB),Total (RMB),Notes
Electronics,1,10kOhm 1%,Chip Resistor,603,R15,C25804,0.005732,0.005732,"Select 4.20V charging voltage, see IP2368 manual for details."
Electronics,1,6.2kOhm 1%,Chip Resistor,603,R16,C4260,0.005976,0.005976,"Select 5000mAH battery capacity, see IP2368 manual for details."
Electronics,1,9.1kOhm,Chip Resistor,603,R17,C23260,0.006084,0.006084,"Select Triple String Mode, see IP2368 manual for details."
Electronics,2,10kOhm,Chip Resistor,603,R18 R22,C15401,0.005462,0.010924,
Electronics,3,100Ohm,Chip Resistor,603,R19 R20 R21,C25201,0.005427,0.016281,
Electronics,2,10Ohm 1%,Chip Resistor,603,R2 R10,C22859,0.005672,0.011344,
Electronics,2,2Ohm,Chip Resistor,603,R3 R4,C25225,0.00674,0.01348,0Ohm can be used instead.
Electronics,5,0Ohm,Chip Resistor,603,R5 R6 R7 R8 R11,C15402,0.005373,0.026865,
Electronics,2,0Ohm,Chip Resistor,603,R23 R24,C15402,0.005373,0.010746,Used to adjust the upper/lower bound of the potentiometer to control the minimum/maximum fan speed.
Electronics,1,0Ohm,Chip Resistor,603,R25 R26,C15402,0.005373,0.005373,"Used to select between using the normal PWM signal and the complementary PWM signal, Only one of these needs to be installed."
Electronics,1,IP2368_BZ/IP2368_COUT,Chip IC,QFN-48(7X7),U1,Taobao,10,10,IP2368_COUT is an upgraded version with added bi-directional charging and discharging capabilities.
Electronics,1,AP2204K-5.0TRG1,Chip LDO,SOT23-5,U2,C112031,0.9611,0.9611,
Electronics,1,GP9101-F20K-L5H5-SW,Chip IC,SOP-8,U3,C20415753,2.98,2.98,L5H5 Indicates a direct 0%/100% duty cycle PWM output for the lowest/highest 5%.
Electronics,1,RV097NS R1S1 10kOhm,Potentiometer,PTH,VR1,Taobao,0.9,0.9,https://m.tb.cn/h.5xQtCXDX8bdXLJV?tk=aTwHWoS8oQx
Electronics,0,5000mAH,Li-ion Battery,21700,Battery,Taobao,16.9,0,
Electronics,0,2 Pin,XH Pin,Wiring,JP1,Taobao,0.02,0,https://m.tb.cn/h.5xA4rsZ7O6otBoX?tk=l3hIWoSk1EH
Module,0,3S 12.6V,Li-ion Battery Protection Module,Wiring,JP1,Taobao,6.33,0,https://m.tb.cn/h.5xAeXbW3B9YVp9a?tk=P89VWoSj9sX
Module,1,3S 12.6V,Li-ion battery level indicator Module,Wiring,JP2,Taobao,6.5,6.5,https://m.tb.cn/h.5C8AmuhibY3OzK3?tk=SOJpWoS8mzm
Module,1,3S 12.6V XH2.54 Female No. 2 Wire Sequence,Lithium Battery Pack,Wiring,JP1,Taobao,79,79,https://m.tb.cn/h.5ArwGGE8BjNeA4H?tk=7LZaWqBgcbV
Filament,0.01,1KG,TPU,-,-,Taobao,100,1,
Filament,0.32,1KG,PLA,-,-,Taobao,29.9,9.568,
